
['120001,蔡家雅,69,76,58,85', '120002,張怡宇,50,42,47,42', '120003,王庭棋,84,86,59,63', '120004,黃和夫,76,80,78,82', '120005,林于文,58,87,68,54', '120006,唐馨馨,89,59,98,42', '120007,張韻庭,57,81,67,89', '120008,應立煌,68,68,78,78', '120009,賀家政,63,93,59,66', '120010,游惠嘉,81,91,91,64', '120011,林佑倫,77,98,89,43', '120012,孫宥葳,98,76,45,65', '120013,黃岑秀,70,91,61,61', '120014,楊雅柔,87,73,84,60', '120015,李至君,55,81,78,83', '120016,陳怡婷,100,94,76,72', '120017,林雅文,65,67,64,88', '120018,謝羿婷,71,68,65,49', '120019,郭玟寧,61,56,80,67', '120020,方翊郁,86,80,56,82', '120021,洪亭瑩,73,51,33,70', '120022,莊盈琳,71,82,56,77', '120023,陳子傑,54,63,73,69', '120024,徐冠運,51,77,82,52', '120025,邱典鳴,82,48,79,68', '120026,何冠斌,76,61,56,62', '120027,劉潔容,75,67,38,44', '120028,王尉瑩,55,44,79,76']



120001,蔡家雅,69,76,58,85
120002,張怡宇,50,42,47,42
120003,王庭棋,84,86,59,63
120004,黃和夫,76,80,78,82
120005,林于文,58,87,68,54
120006,唐馨馨,89,59,98,42
120007,張韻庭,57,81,67,89
120008,應立煌,68,68,78,78
120009,賀家政,63,93,59,66
120010,游惠嘉,81,91,91,64
120011,林佑倫,77,98,89,43
120012,孫宥葳,98,76,45,65
120013,黃岑秀,70,91,61,61
120014,楊雅柔,87,73,84,60
120015,李至君,55,81,78,83
120016,陳怡婷,100,94,76,72
120017,林雅文,65,67,64,88
120018,謝羿婷,71,68,65,49
120019,郭玟寧,61,56,80,67
120020,方翊郁,86,80,56,82
120021,洪亭瑩,73,51,33,70
120022,莊盈琳,71,82,56,77
120023,陳子傑,54,63,73,69
120024,徐冠運,51,77,82,52
120025,邱典鳴,82,48,79,68
120026,何冠斌,76,61,56,62
120027,劉潔容,75,67,38,44
120028,王尉瑩,55,44,79,76
120029,徐盈菁,63,90,83,38
120030,何慈貞,96,44,54,62
120031,黃宜勻,84,67,77,86
120032,陳霈蓁,69,60,62,52
120033,賴孟穎,80,84,47,42
120034,沈家佑,47,41,72,49
120035,朱羚儒,72,76,56,79
120036,蕭宛倫,63,61,67,66
120037,余艾芳,68,58,59,64
120038,呂德雯,65,48,85,73
120039,林雅霖,90,97,79,80
120040,程俐婷,85,81,73,56
120041,陳俐平,85,61,67,63
120042,林一妤,57,90,75,86
120043,徐芷妤,86,78,78,67
120044,郭妤文,73,61,76,64
120045,陳敏庭,69,70,83,73
120046,羅毓芹,56,65,67,57
120047,陳煜文,73,50,65,84
120048,黃宜馨,55,70,59,65
120049,蔡彥娟,53,86,96,85
120050,丁淑儒,61,58,85,75
120051,黃鈺華,61,71,90,55
120052,廖嘉倫,49,60,88,54
120053,張欣葳,63,80,81,57
120054,周佳好,54,72,60,40
120055,張美鈴,78,83,64,59
120056,何柏銘,85,81,80,73
120057,陳宜瑩,83,73,83,61
120058,張欣盈,73,87,64,74
120059,林佳雯,65,71,74,70
120060,葉景文,77,75,64,88
120061,李萱戎,100,71,89,82
120062,蔡冠彤,82,75,88,57
120063,賴映唐,97,75,94,56
120064,賴欣琪,87,83,73,79
120065,吳安葦,61,100,88,91
120066,張琇穎,73,83,90,70
120067,王抒蕾,62,68,71,70
120068,徐雅君,67,77,64,84
120069,王佩萍,68,93,75,84
120070,廖秋萱,57,85,78,77
120071,湯育穎,90,100,56,75
120072,黃書皓,70,79,87,74
120073,林竺婕,55,96,59,84
120074,林宇吟,76,75,87,59
120075,范閔鴻,60,72,70,54
120076,黃亮萱,73,90,90,46
120077,施品峮,94,95,99,85
120078,劉文儀,82,78,78,74
120079,謝儀倢,69,60,63,45
120080,許業瑋,67,56,89,45
120081,許書謀,100,62,69,89
120082,陳聿芳,91,84,81,72
120083,張鳳凱,83,83,50,57
120084,鄭嘉萱,60,75,89,67
120085,李奕晶,76,91,79,81
120086,宋明嫣,83,84,66,65
120087,李威鴻,52,86,100,67
120088,許書樺,68,64,98,71
120089,許品君,88,68,59,77
120090,陳茹月,75,63,93,57
120091,阮育鋒,70,78,61,61
120092,陳亭樺,58,66,92,56
120093,王薪雯,62,55,71,48
120094,曾姵伶,62,84,75,65
120095,聞采捷,59,55,51,67
120096,謝薇穎,90,97,70,86
120097,王姿庭,78,87,51,46
120098,陳宛安,83,61,60,81
120099,蔡詔瑄,78,66,45,63
120100,蕭禮可,43,62,94,60
120101,劉馨文,65,85,59,83
120102,黃乃柔,91,99,73,64
120103,柯家翎,78,74,99,63
